StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ec_1_1,ec_1_2,ec_1_3,ec_1_4,ec_1_5,ec_1_6,ec_2,Q55,age,gender,gender_4_TEXT,race,end,trial_shuffle_order,all_stimuli_json,t1_pair_id,t1_category,t1_truth,t1_truth_gender,t1_A_id,t1_A_gender,t1_A_GK,t1_A_Word,t1_B_id,t1_B_gender,t1_B_GK,t1_B_Word,t1_slider_value,t1_slider_side,t1_rt_ms,t2_pair_id,t2_category,t2_truth,t2_truth_gender,t2_A_id,t2_A_gender,t2_A_GK,t2_A_Word,t2_B_id,t2_B_gender,t2_B_GK,t2_B_Word,t2_slider_value,t2_slider_side,t2_rt_ms,t3_pair_id,t3_category,t3_truth,t3_truth_gender,t3_A_id,t3_A_gender,t3_A_GK,t3_A_Word,t3_B_id,t3_B_gender,t3_B_GK,t3_B_Word,t3_slider_value,t3_slider_side,t3_rt_ms,t4_pair_id,t4_category,t4_truth,t4_truth_gender,t4_A_id,t4_A_gender,t4_A_GK,t4_A_Word,t4_B_id,t4_B_gender,t4_B_GK,t4_B_Word,t4_slider_value,t4_slider_side,t4_rt_ms,t5_pair_id,t5_category,t5_truth,t5_truth_gender,t5_A_id,t5_A_gender,t5_A_GK,t5_A_Word,t5_B_id,t5_B_gender,t5_B_GK,t5_B_Word,t5_slider_value,t5_slider_side,t5_rt_ms,t6_pair_id,t6_category,t6_truth,t6_truth_gender,t6_A_id,t6_A_gender,t6_A_GK,t6_A_Word,t6_B_id,t6_B_gender,t6_B_GK,t6_B_Word,t6_slider_value,t6_slider_side,t6_rt_ms,t7_pair_id,t7_category,t7_truth,t7_truth_gender,t7_A_id,t7_A_gender,t7_A_GK,t7_A_Word,t7_B_id,t7_B_gender,t7_B_GK,t7_B_Word,t7_slider_value,t7_slider_side,t7_rt_ms,t8_pair_id,t8_category,t8_truth,t8_truth_gender,t8_A_id,t8_A_gender,t8_A_GK,t8_A_Word,t8_B_id,t8_B_gender,t8_B_GK,t8_B_Word,t8_slider_value,t8_slider_side,t8_rt_ms,t9_pair_id,t9_category,t9_truth,t9_truth_gender,t9_A_id,t9_A_gender,t9_A_GK,t9_A_Word,t9_B_id,t9_B_gender,t9_B_GK,t9_B_Word,t9_slider_value,t9_slider_side,t9_rt_ms,t10_pair_id,t10_category,t10_truth,t10_truth_gender,t10_A_id,t10_A_gender,t10_A_GK,t10_A_Word,t10_B_id,t10_B_gender,t10_B_GK,t10_B_Word,t10_slider_value,t10_slider_side,t10_rt_ms,Create New Field or Choose From Dropdown...,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please respond truthfully to the items below. - Have you ever been bitten by an bee?,Please respond truthfully to the items below. - Have you ever been to Thailand?,Please respond truthfully to the items below. - Have you ever been to Venus?,Please respond truthfully to the items below. - Have you ever drank water?,Please respond truthfully to the items below. - Have you ever suffered a fatal heart attack?,Please respond truthfully to the items below. - Are you human?,"Please ignore the question below and instead type in ""one two"" (exactly as shown) as your response to proceed:

What is 13 + 39?","We want to ensure you understand how your earnings will be calculated. Please answer the following question

Which scenario results in a positive bonus for you?",What is your age?,What is your gender? - Selected Choice,What is your gender? - Another gender not listed here: - Text,Which race or ethnicity best describes you?,Thank you for taking the survey. Please feel free to leave any comments or feedback!,trial_shuffle_order,all_stimuli_json,t1_pair_id,t1_category,t1_truth,t1_truth_gender,t1_A_id,t1_A_gender,t1_A_GK,t1_A_Word,t1_B_id,t1_B_gender,t1_B_GK,t1_B_Word,t1_slider_value,t1_slider_side,t1_rt_ms,t2_pair_id,t2_category,t2_truth,t2_truth_gender,t2_A_id,t2_A_gender,t2_A_GK,t2_A_Word,t2_B_id,t2_B_gender,t2_B_GK,t2_B_Word,t2_slider_value,t2_slider_side,t2_rt_ms,t3_pair_id,t3_category,t3_truth,t3_truth_gender,t3_A_id,t3_A_gender,t3_A_GK,t3_A_Word,t3_B_id,t3_B_gender,t3_B_GK,t3_B_Word,t3_slider_value,t3_slider_side,t3_rt_ms,t4_pair_id,t4_category,t4_truth,t4_truth_gender,t4_A_id,t4_A_gender,t4_A_GK,t4_A_Word,t4_B_id,t4_B_gender,t4_B_GK,t4_B_Word,t4_slider_value,t4_slider_side,t4_rt_ms,t5_pair_id,t5_category,t5_truth,t5_truth_gender,t5_A_id,t5_A_gender,t5_A_GK,t5_A_Word,t5_B_id,t5_B_gender,t5_B_GK,t5_B_Word,t5_slider_value,t5_slider_side,t5_rt_ms,t6_pair_id,t6_category,t6_truth,t6_truth_gender,t6_A_id,t6_A_gender,t6_A_GK,t6_A_Word,t6_B_id,t6_B_gender,t6_B_GK,t6_B_Word,t6_slider_value,t6_slider_side,t6_rt_ms,t7_pair_id,t7_category,t7_truth,t7_truth_gender,t7_A_id,t7_A_gender,t7_A_GK,t7_A_Word,t7_B_id,t7_B_gender,t7_B_GK,t7_B_Word,t7_slider_value,t7_slider_side,t7_rt_ms,t8_pair_id,t8_category,t8_truth,t8_truth_gender,t8_A_id,t8_A_gender,t8_A_GK,t8_A_Word,t8_B_id,t8_B_gender,t8_B_GK,t8_B_Word,t8_slider_value,t8_slider_side,t8_rt_ms,t9_pair_id,t9_category,t9_truth,t9_truth_gender,t9_A_id,t9_A_gender,t9_A_GK,t9_A_Word,t9_B_id,t9_B_gender,t9_B_GK,t9_B_Word,t9_slider_value,t9_slider_side,t9_rt_ms,t10_pair_id,t10_category,t10_truth,t10_truth_gender,t10_A_id,t10_A_gender,t10_A_GK,t10_A_Word,t10_B_id,t10_B_gender,t10_B_GK,t10_B_Word,t10_slider_value,t10_slider_side,t10_rt_ms,Create New Field or Choose From Dropdown...,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID34_3""}","{""ImportId"":""QID34_4""}","{""ImportId"":""QID34_5""}","{""ImportId"":""QID34_6""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID55""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID51_4_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""trial_shuffle_order""}","{""ImportId"":""all_stimuli_json""}","{""ImportId"":""t1_pair_id""}","{""ImportId"":""t1_category""}","{""ImportId"":""t1_truth""}","{""ImportId"":""t1_truth_gender""}","{""ImportId"":""t1_A_id""}","{""ImportId"":""t1_A_gender""}","{""ImportId"":""t1_A_GK""}","{""ImportId"":""t1_A_Word""}","{""ImportId"":""t1_B_id""}","{""ImportId"":""t1_B_gender""}","{""ImportId"":""t1_B_GK""}","{""ImportId"":""t1_B_Word""}","{""ImportId"":""t1_slider_value""}","{""ImportId"":""t1_slider_side""}","{""ImportId"":""t1_rt_ms""}","{""ImportId"":""t2_pair_id""}","{""ImportId"":""t2_category""}","{""ImportId"":""t2_truth""}","{""ImportId"":""t2_truth_gender""}","{""ImportId"":""t2_A_id""}","{""ImportId"":""t2_A_gender""}","{""ImportId"":""t2_A_GK""}","{""ImportId"":""t2_A_Word""}","{""ImportId"":""t2_B_id""}","{""ImportId"":""t2_B_gender""}","{""ImportId"":""t2_B_GK""}","{""ImportId"":""t2_B_Word""}","{""ImportId"":""t2_slider_value""}","{""ImportId"":""t2_slider_side""}","{""ImportId"":""t2_rt_ms""}","{""ImportId"":""t3_pair_id""}","{""ImportId"":""t3_category""}","{""ImportId"":""t3_truth""}","{""ImportId"":""t3_truth_gender""}","{""ImportId"":""t3_A_id""}","{""ImportId"":""t3_A_gender""}","{""ImportId"":""t3_A_GK""}","{""ImportId"":""t3_A_Word""}","{""ImportId"":""t3_B_id""}","{""ImportId"":""t3_B_gender""}","{""ImportId"":""t3_B_GK""}","{""ImportId"":""t3_B_Word""}","{""ImportId"":""t3_slider_value""}","{""ImportId"":""t3_slider_side""}","{""ImportId"":""t3_rt_ms""}","{""ImportId"":""t4_pair_id""}","{""ImportId"":""t4_category""}","{""ImportId"":""t4_truth""}","{""ImportId"":""t4_truth_gender""}","{""ImportId"":""t4_A_id""}","{""ImportId"":""t4_A_gender""}","{""ImportId"":""t4_A_GK""}","{""ImportId"":""t4_A_Word""}","{""ImportId"":""t4_B_id""}","{""ImportId"":""t4_B_gender""}","{""ImportId"":""t4_B_GK""}","{""ImportId"":""t4_B_Word""}","{""ImportId"":""t4_slider_value""}","{""ImportId"":""t4_slider_side""}","{""ImportId"":""t4_rt_ms""}","{""ImportId"":""t5_pair_id""}","{""ImportId"":""t5_category""}","{""ImportId"":""t5_truth""}","{""ImportId"":""t5_truth_gender""}","{""ImportId"":""t5_A_id""}","{""ImportId"":""t5_A_gender""}","{""ImportId"":""t5_A_GK""}","{""ImportId"":""t5_A_Word""}","{""ImportId"":""t5_B_id""}","{""ImportId"":""t5_B_gender""}","{""ImportId"":""t5_B_GK""}","{""ImportId"":""t5_B_Word""}","{""ImportId"":""t5_slider_value""}","{""ImportId"":""t5_slider_side""}","{""ImportId"":""t5_rt_ms""}","{""ImportId"":""t6_pair_id""}","{""ImportId"":""t6_category""}","{""ImportId"":""t6_truth""}","{""ImportId"":""t6_truth_gender""}","{""ImportId"":""t6_A_id""}","{""ImportId"":""t6_A_gender""}","{""ImportId"":""t6_A_GK""}","{""ImportId"":""t6_A_Word""}","{""ImportId"":""t6_B_id""}","{""ImportId"":""t6_B_gender""}","{""ImportId"":""t6_B_GK""}","{""ImportId"":""t6_B_Word""}","{""ImportId"":""t6_slider_value""}","{""ImportId"":""t6_slider_side""}","{""ImportId"":""t6_rt_ms""}","{""ImportId"":""t7_pair_id""}","{""ImportId"":""t7_category""}","{""ImportId"":""t7_truth""}","{""ImportId"":""t7_truth_gender""}","{""ImportId"":""t7_A_id""}","{""ImportId"":""t7_A_gender""}","{""ImportId"":""t7_A_GK""}","{""ImportId"":""t7_A_Word""}","{""ImportId"":""t7_B_id""}","{""ImportId"":""t7_B_gender""}","{""ImportId"":""t7_B_GK""}","{""ImportId"":""t7_B_Word""}","{""ImportId"":""t7_slider_value""}","{""ImportId"":""t7_slider_side""}","{""ImportId"":""t7_rt_ms""}","{""ImportId"":""t8_pair_id""}","{""ImportId"":""t8_category""}","{""ImportId"":""t8_truth""}","{""ImportId"":""t8_truth_gender""}","{""ImportId"":""t8_A_id""}","{""ImportId"":""t8_A_gender""}","{""ImportId"":""t8_A_GK""}","{""ImportId"":""t8_A_Word""}","{""ImportId"":""t8_B_id""}","{""ImportId"":""t8_B_gender""}","{""ImportId"":""t8_B_GK""}","{""ImportId"":""t8_B_Word""}","{""ImportId"":""t8_slider_value""}","{""ImportId"":""t8_slider_side""}","{""ImportId"":""t8_rt_ms""}","{""ImportId"":""t9_pair_id""}","{""ImportId"":""t9_category""}","{""ImportId"":""t9_truth""}","{""ImportId"":""t9_truth_gender""}","{""ImportId"":""t9_A_id""}","{""ImportId"":""t9_A_gender""}","{""ImportId"":""t9_A_GK""}","{""ImportId"":""t9_A_Word""}","{""ImportId"":""t9_B_id""}","{""ImportId"":""t9_B_gender""}","{""ImportId"":""t9_B_GK""}","{""ImportId"":""t9_B_Word""}","{""ImportId"":""t9_slider_value""}","{""ImportId"":""t9_slider_side""}","{""ImportId"":""t9_rt_ms""}","{""ImportId"":""t10_pair_id""}","{""ImportId"":""t10_category""}","{""ImportId"":""t10_truth""}","{""ImportId"":""t10_truth_gender""}","{""ImportId"":""t10_A_id""}","{""ImportId"":""t10_A_gender""}","{""ImportId"":""t10_A_GK""}","{""ImportId"":""t10_A_Word""}","{""ImportId"":""t10_B_id""}","{""ImportId"":""t10_B_gender""}","{""ImportId"":""t10_B_GK""}","{""ImportId"":""t10_B_Word""}","{""ImportId"":""t10_slider_value""}","{""ImportId"":""t10_slider_side""}","{""ImportId"":""t10_rt_ms""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""PROLIFIC_PID""}"
2025-11-30 23:00:54,2025-11-30 23:01:07,1,,100,12,1,2025-11-30 23:01:07,R_6c1o8SpaCK8g3El,,,,,39.83,-75.4155,preview,EN,2,2,2,1,2,1,one one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-02 12:23:50,2025-12-02 12:24:32,1,,100,42,1,2025-12-02 12:24:33,R_6Auid9q8PDWDlNn,,,,,39.83,-75.4155,preview,EN,1,2,2,1,2,1,one two,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 15:32:52,2026-02-10 15:40:34,1,,100,462,1,2026-02-10 15:40:35,R_77DO4diOHLy7kPZ,,,,,39.9597,-75.1995,preview,EN,2,2,2,1,2,1,one two,4,22,1,,1,11,"9,8,2,3,7,6,1,4,5,0",,man_vs_man,ManVsMan_Awins,A,Man,ntxkbei3,Man,88,62,1vrg3e4o,Man,18,96,,,,split_unknowns,SplitUnknowns_ManWins,B,Man,gtiak505,Woman,97,Unknown,cjivnb9m,Man,Unknown,98,,,,misleading_woman_looks_better,ObviousFails_WomanLooksBetter,B,Man,5yrzkge8,Woman,100,92,1unc8ds8,Man,11,31,,,,misleading_man_looks_better,ObviousFails_ManLooksBetter,B,Woman,nuunve0a,Man,93,92,i8823gif,Woman,29,86,,,,identical_woman_woman,Identical_WomanWoman_Bwins,B,Woman,zaken6uy,Woman,68,72,3z86qvov,Woman,68,72,,,,unknown_man_word,Unknown_ManWord_ManWins,B,Man,aoygoszl,Woman,76,2,49ki2ruu,Man,18,Unknown,,,,dominant_man_wins,Dominant_ManWins,A,Man,7aimr53s,Man,88,86,okxou2gf,Woman,4,62,,,,close_woman_wins,Close_WomanWins,A,Woman,e9jz82ta,Woman,76,17,fyis6atg,Man,81,12,,,,unknown_woman_gk,Unknown_WomanGK_ManWins,A,Man,musgffcq,Man,41,48,i7u34n0x,Woman,Unknown,79,,,,dominant_woman_wins,Dominant_WomanWins,A,Woman,zlrgipzx,Woman,97,99,wdjc417p,Man,4,6,,,,,
2026-02-11 15:10:16,2026-02-11 15:19:19,0,184.181.45.242,100,542,1,2026-02-11 15:19:19,R_5F5sugzvSS9EpsR,,,,,29.9734,-90.0885,anonymous,EN,1,2,2,1,2,1,one two,4,58,2,,5,,"6,1,2,8,3,0,7,5,4,9",,unknown_man_word,Unknown_ManWord_ManWins,B,Man,aoygoszl,Woman,76,2,49ki2ruu,Man,18,Unknown,,,,dominant_man_wins,Dominant_ManWins,A,Man,7aimr53s,Man,88,86,okxou2gf,Woman,4,62,,,,misleading_woman_looks_better,ObviousFails_WomanLooksBetter,B,Man,5yrzkge8,Woman,100,92,1unc8ds8,Man,11,31,,,,split_unknowns,SplitUnknowns_ManWins,B,Man,gtiak505,Woman,97,Unknown,cjivnb9m,Man,Unknown,98,,,,misleading_man_looks_better,ObviousFails_ManLooksBetter,B,Woman,nuunve0a,Man,93,92,i8823gif,Woman,29,86,,,,dominant_woman_wins,Dominant_WomanWins,A,Woman,zlrgipzx,Woman,97,99,wdjc417p,Man,4,6,,,,identical_woman_woman,Identical_WomanWoman_Bwins,B,Woman,zaken6uy,Woman,68,72,3z86qvov,Woman,68,72,,,,unknown_woman_gk,Unknown_WomanGK_ManWins,A,Man,musgffcq,Man,41,48,i7u34n0x,Woman,Unknown,79,,,,close_woman_wins,Close_WomanWins,A,Woman,e9jz82ta,Woman,76,17,fyis6atg,Man,81,12,,,,man_vs_man,ManVsMan_Awins,A,Man,ntxkbei3,Man,88,62,1vrg3e4o,Man,18,96,,,,,65b1410c1261df545da74073
2026-02-11 15:14:11,2026-02-11 15:20:34,0,141.166.198.11,100,382,1,2026-02-11 15:20:34,R_1F4EEaE0XWAJYxL,,,,,37.5538,-77.4603,anonymous,EN,2,2,2,1,2,1,one two,4,20,1,,5,,"0,4,7,8,1,2,3,9,6,5",,dominant_woman_wins,Dominant_WomanWins,A,Woman,zlrgipzx,Woman,97,99,wdjc417p,Man,4,6,,,,close_woman_wins,Close_WomanWins,A,Woman,e9jz82ta,Woman,76,17,fyis6atg,Man,81,12,,,,identical_woman_woman,Identical_WomanWoman_Bwins,B,Woman,zaken6uy,Woman,68,72,3z86qvov,Woman,68,72,,,,split_unknowns,SplitUnknowns_ManWins,B,Man,gtiak505,Woman,97,Unknown,cjivnb9m,Man,Unknown,98,,,,dominant_man_wins,Dominant_ManWins,A,Man,7aimr53s,Man,88,86,okxou2gf,Woman,4,62,,,,misleading_woman_looks_better,ObviousFails_WomanLooksBetter,B,Man,5yrzkge8,Woman,100,92,1unc8ds8,Man,11,31,,,,misleading_man_looks_better,ObviousFails_ManLooksBetter,B,Woman,nuunve0a,Man,93,92,i8823gif,Woman,29,86,,,,man_vs_man,ManVsMan_Awins,A,Man,ntxkbei3,Man,88,62,1vrg3e4o,Man,18,96,,,,unknown_man_word,Unknown_ManWord_ManWins,B,Man,aoygoszl,Woman,76,2,49ki2ruu,Man,18,Unknown,,,,unknown_woman_gk,Unknown_WomanGK_ManWins,A,Man,musgffcq,Man,41,48,i7u34n0x,Woman,Unknown,79,,,,,697f89b2b7c2a213b672f479
2026-02-11 15:22:19,2026-02-11 15:22:38,0,76.86.54.134,100,18,1,2026-02-11 15:22:38,R_59h6QAZFRxoRQ30,,,,,34.1794,-118.4313,anonymous,EN,1,2,2,1,2,1,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694ec9bf21209f55697b99d5
2026-02-11 15:22:22,2026-02-11 15:28:41,0,23.245.196.158,100,378,1,2026-02-11 15:28:41,R_5aV2P01QKpDkfIE,,,,,40.2938,-83.0744,anonymous,EN,1,1,2,1,2,1,one two,4,36,2,,5,thanks for the work,"9,0,8,1,3,7,2,5,6,4",,man_vs_man,ManVsMan_Awins,A,Man,ntxkbei3,Man,88,62,1vrg3e4o,Man,18,96,,,,dominant_woman_wins,Dominant_WomanWins,A,Woman,zlrgipzx,Woman,97,99,wdjc417p,Man,4,6,,,,split_unknowns,SplitUnknowns_ManWins,B,Man,gtiak505,Woman,97,Unknown,cjivnb9m,Man,Unknown,98,,,,dominant_man_wins,Dominant_ManWins,A,Man,7aimr53s,Man,88,86,okxou2gf,Woman,4,62,,,,misleading_man_looks_better,ObviousFails_ManLooksBetter,B,Woman,nuunve0a,Man,93,92,i8823gif,Woman,29,86,,,,identical_woman_woman,Identical_WomanWoman_Bwins,B,Woman,zaken6uy,Woman,68,72,3z86qvov,Woman,68,72,,,,misleading_woman_looks_better,ObviousFails_WomanLooksBetter,B,Man,5yrzkge8,Woman,100,92,1unc8ds8,Man,11,31,,,,unknown_woman_gk,Unknown_WomanGK_ManWins,A,Man,musgffcq,Man,41,48,i7u34n0x,Woman,Unknown,79,,,,unknown_man_word,Unknown_ManWord_ManWins,B,Man,aoygoszl,Woman,76,2,49ki2ruu,Man,18,Unknown,,,,close_woman_wins,Close_WomanWins,A,Woman,e9jz82ta,Woman,76,17,fyis6atg,Man,81,12,,,,,602b3ed14ae791260d6d12c5
