slot,condition,endorser_pid,endorser_gender,q1_pair_id,q1_slider_value,q1_is_correct,q1_abs_strength,q2_pair_id,q2_slider_value,q2_is_correct
1,M_correct_strong,63d80b500adef5b476e289a4,Man,dominant_woman_wins,0,1,50.0,unknown_man_word,15,0
2,M_correct_strong,6598942c3d07928cc188ffdb,Man,misleading_man_looks_better,100,1,50.0,man_vs_man,1,1
3,M_correct_strong,5f5452df72345118f58d187b,Man,dominant_woman_wins,0,1,50.0,misleading_man_looks_better,0,0
4,M_correct_strong,62877d5f6a054e53313ac916,Man,dominant_woman_wins,0,1,50.0,split_unknowns,99,1
5,M_correct_strong,63ecff07b619306f41db42fa,Man,dominant_man_wins,0,1,50.0,dominant_woman_wins,1,1
6,M_correct_strong,55d234b45bc5bc0005d9039d,Man,dominant_woman_wins,0,1,50.0,unknown_woman_gk,75,0
7,M_correct_strong,62029a55ef1cb18a1337c61a,Man,dominant_woman_wins,0,1,50.0,dominant_man_wins,5,1
8,M_correct_strong,66b01097e95b0626c2cd7b5c,Man,misleading_woman_looks_better,100,1,50.0,dominant_man_wins,5,1
9,M_correct_weak,65fd19896d58d64c0d8cbc3c,Man,identical_woman_woman,51,1,1.0,dominant_woman_wins,1,1
10,M_correct_weak,66be78ef3ca75af1251ce936,Man,identical_woman_woman,51,1,1.0,misleading_man_looks_better,0,0
11,M_correct_weak,664439645a9a29be43d5bf5a,Man,close_woman_wins,49,1,1.0,unknown_woman_gk,75,0
12,M_correct_weak,6745f39f437c441b19285a1a,Man,identical_woman_woman,51,1,1.0,misleading_man_looks_better,4,0
13,M_correct_weak,66bffd8c97a80ac91e1087e0,Man,identical_woman_woman,51,1,1.0,dominant_woman_wins,1,1
14,M_correct_weak,6446b4a6eb2ba64c1505307d,Man,split_unknowns,51,1,1.0,misleading_woman_looks_better,2,0
15,M_correct_weak,66e9cc5fb04f5ba6d8b5a3f1,Man,split_unknowns,51,1,1.0,misleading_man_looks_better,5,0
16,M_correct_weak,6675f3ac3a5d0633257190c4,Man,identical_woman_woman,51,1,1.0,misleading_woman_looks_better,1,0
17,M_incorrect_strong,59e7477e3e4b5a00016aa4d2,Man,dominant_woman_wins,100,0,50.0,split_unknowns,1,0
18,M_incorrect_strong,5eac686d82cc012af1e953c7,Man,unknown_woman_gk,100,0,50.0,man_vs_man,82,0
19,M_incorrect_strong,591d369e88bbb500013a8517,Man,misleading_woman_looks_better,0,0,50.0,unknown_woman_gk,86,0
20,M_incorrect_strong,6398db762e009c7af9e1da88,Man,misleading_man_looks_better,0,0,50.0,unknown_woman_gk,85,0
21,M_incorrect_strong,67a95d468d14bd6324b4bbba,Man,misleading_woman_looks_better,0,0,50.0,close_woman_wins,81,0
22,M_incorrect_strong,6702c3ee33eed6369eb34c8f,Man,misleading_man_looks_better,0,0,50.0,split_unknowns,20,0
23,M_incorrect_strong,570521cfde5095001018a0c8,Man,misleading_woman_looks_better,0,0,50.0,man_vs_man,7,1
24,M_incorrect_strong,633c74ad6178784ed5b52104,Man,misleading_man_looks_better,0,0,50.0,dominant_man_wins,5,1
25,M_incorrect_weak,5e5731e3e1e8b90e25c1f3a2,Man,close_woman_wins,51,0,1.0,misleading_man_looks_better,11,0
26,M_incorrect_weak,641385c88f29eb3264283818,Man,identical_woman_woman,49,0,1.0,dominant_woman_wins,2,1
27,M_incorrect_weak,5bf4afe0b8e9f800014c9c0b,Man,identical_woman_woman,49,0,1.0,unknown_woman_gk,80,0
28,M_incorrect_weak,622a11c552b2b35bab72a39c,Man,identical_woman_woman,49,0,1.0,unknown_woman_gk,65,0
29,M_incorrect_weak,666b5817eadabfbefc40fe1b,Man,split_unknowns,49,0,1.0,dominant_man_wins,21,1
30,M_incorrect_weak,67aa52dcb66d138fca70a211,Man,identical_woman_woman,49,0,1.0,misleading_man_looks_better,5,0
31,M_incorrect_weak,66956649d7179281d46fa6f2,Man,unknown_man_word,48,0,2.0,dominant_woman_wins,5,1
32,M_incorrect_weak,63ed04d2ce3b27bda2fbbb9c,Man,identical_woman_woman,48,0,2.0,misleading_man_looks_better,6,0
33,W_correct_strong,R_6LuSAqe1z1kqjId,Woman,misleading_woman_looks_better,100,1,50.0,unknown_man_word,61,1
34,W_correct_strong,5f285dc5b09b3715fa20a14c,Woman,dominant_man_wins,0,1,50.0,unknown_woman_gk,75,0
35,W_correct_strong,6632e71b65934c5810fb2eff,Woman,misleading_woman_looks_better,100,1,50.0,dominant_man_wins,94,0
36,W_correct_strong,5d537c0cecc84200153075e9,Woman,dominant_woman_wins,0,1,50.0,unknown_man_word,4,0
37,W_correct_strong,67215f2922159d42abf932a4,Woman,dominant_woman_wins,0,1,50.0,dominant_man_wins,8,1
38,W_correct_strong,6643d22289210a4edf21e84d,Woman,dominant_woman_wins,0,1,50.0,man_vs_man,7,1
39,W_correct_strong,663e26ccdbc470527165388b,Woman,dominant_woman_wins,0,1,50.0,man_vs_man,21,1
40,W_correct_strong,5f5967d6e280e61b2db8e55c,Woman,dominant_man_wins,0,1,50.0,man_vs_man,90,0
41,W_correct_weak,5f4ee7ff2c5da213f015a27e,Woman,identical_woman_woman,51,1,1.0,misleading_man_looks_better,13,0
