response_id,prolific_pid,condition,endorser_gender,outcome,strength_condition,endorser_slider_q1,endorser_slider_q2,abs_strength,trust_d1,trust_d2,trust_change,is_correct,bonus,rt_d1,rt_outcome,rt_d2,duration_s,cq_score,age,gender,race,manip_check_q44,manip_correct
R_1cbComyDqqmrO4z,56cc78e3ccc0e20006b82a7d,W_correct_strong,Female,Success,strong,0.0,8.0,100.0,100.0,100.0,0.0,1,1.00,6000,1944,2766,124,,35,2,5,2,1
R_6rjRIfNThR4eM3D,697a400388ff4bcd707cde8e,W_correct_strong,Female,Success,strong,100.0,61.0,100.0,92.0,91.0,-1.0,1,0.96,13305,3210,5571,185,,34,2,5,,0
R_7kjKyMufepFnKBV,62e7357284e65421d8f8b10f,M_incorrect_weak,Male,Failure,weak,48.0,6.0,4.0,100.0,100.0,0.0,0,0.00,30082,9790,25442,341,,68,2,5,1,1
R_5VNHxtrEz2W7fuu,53987712fdf99b68e3a45021,M_incorrect_strong,Male,Failure,strong,0.0,20.0,100.0,20.0,0.0,-20.0,0,0.40,61573,2609,3112,310,,32,1,2,,0
R_3Pc1p66d5ctvDKG,66de29b7d4d6dd25c97445d1,M_incorrect_weak,Male,Failure,weak,48.0,5.0,4.0,40.0,30.0,-10.0,0,0.30,43782,11219,25608,459,,58,1,5,2,0
R_7O9tEpEAKmym2zT,58d3dad59dbe3f0001258f66,W_correct_weak,Female,Success,weak,51.0,1.0,2.0,10.0,0.0,-10.0,1,0.55,64955,35613,21474,744,,56,1,5,2,1
R_5YmlRuS8VGphV4d,5ced23c585712e00190bd98a,W_correct_strong,Female,Success,strong,100.0,94.0,100.0,100.0,100.0,0.0,1,1.00,5376,8016,3840,220,4,45,2,5,1,0
R_11Fo2GLzXOwPVaF,5dac90fbfbeead001454c91f,W_incorrect_weak,Female,Failure,weak,49.0,16.0,2.0,60.0,57.0,-3.0,0,0.20,13071,8188,5149,166,4,31,1,5,2,1
R_14hKzvPvfWlrD86,5c7f489defd9e20015751167,M_correct_weak,Male,Success,weak,49.0,75.0,2.0,10.0,20.0,10.0,1,0.55,13432,6041,11719,202,4,43,2,5,1,1
R_3zLWQv5KGBFgXHe,673a37f0ad04c995c8322ca6,W_incorrect_weak,Female,Failure,weak,48.0,6.0,4.0,50.0,50.0,0.0,0,0.25,25381,10278,8385,203,3,30,2,2,2,1
