response_id,prolific_pid,start_date,end_date,duration_s,assigned_condition,endorser_gender,endorser_id,endorser_slider_q1,endorser_slider_q2,display_strength_q1,display_strength_q2,q2_variance_delta,trust_d1,trust_d2,trust_change,abs_change,q1_pair_id,q2_pair_id,q1_category,q2_category,q1_truth,q1_selected,q1_correct,q1_bonus,rt_d1,rt_d2,rt_outcome,gender_cond,accuracy_cond,strength_cond,outcome,cq1_correct,cq2_correct,cq3_correct,cq4_correct,cq5_correct,cq_score,cq_score_qualtrics,cq_perfect,manip_response,manip_correct,manip_missing,participant_gender,age,race,best_participant,changer,female_endorser,success,strong,trust_d1_centered,age_centered
R_3E6dGe0XmtH5kwe,5ab3fc4b5f01000001cb07e2,2026-03-27T13:44:40Z,2026-03-27T13:48:30Z,229.0,W_correct_weak,Female,65e8ff784cc1b2fc71bc5368,49.0,5.0,12.0,10.0,-2.0,12.0,10.0,-2.0,2.0,close_woman_wins,misleading_woman_looks_better,Close_WomanWins,ObviousFails_WomanLooksBetter,A,A,1,0.56,17.518,5.054,4.659,W,correct,weak,Success,1,1,1,1,1,5,5,1,Female,1,0,Male,45.0,White,1,1,1,1,0,-30.6765,-0.3358
R_6BQp5y3K46BMa9H,570b7b5fb9b52b00102d96f9,2026-03-27T13:43:51Z,2026-03-27T13:51:11Z,440.0,W_incorrect_strong,Female,641386b1cb9a9c1e3569d4ee,3.0,2.0,85.0,90.0,5.0,60.0,60.0,0.0,0.0,misleading_woman_looks_better,dominant_woman_wins,ObviousFails_WomanLooksBetter,Dominant_WomanWins,B,A,0,0.2,16.878,6.055,4.323,W,incorrect,strong,Failure,1,1,1,1,1,5,5,1,Female,1,0,Female,38.0,White,1,0,1,0,1,17.3235,-7.3358
R_3BFyHcrBQxkQsh3,5a51ba7676d1c60001aaa660,2026-03-27T13:44:46Z,2026-03-27T13:51:59Z,432.0,W_correct_strong,Female,6632944bbc110f7862810d5a,2.0,4.0,87.0,90.0,3.0,25.0,75.0,50.0,50.0,man_vs_man,dominant_woman_wins,ManVsMan_Awins,Dominant_WomanWins,A,A,1,0.63,33.053,19.927,12.542,W,correct,strong,Success,1,1,1,1,1,5,5,1,Female,1,0,Female,49.0,White,1,1,1,1,1,-17.6765,3.6642
R_34uPRcP5NQQxlbr,698658b2aac7c8af07f71d35,2026-03-27T13:45:29Z,2026-03-27T13:53:55Z,505.0,M_correct_strong,Male,6596d692ac956830b68776e0,8.0,6.0,77.0,86.0,9.0,77.0,100.0,23.0,23.0,dominant_man_wins,misleading_woman_looks_better,Dominant_ManWins,ObviousFails_WomanLooksBetter,A,A,1,0.89,23.438,14.282,9.259,M,correct,strong,Success,1,1,1,1,1,5,5,1,,0,1,Male,29.0,Hispanic,0,1,0,1,1,34.3235,-16.3358
R_5EhRp99zuyUpBv3,5596ab22fdf99b2d3a68c840,2026-03-27T13:48:12Z,2026-03-27T14:05:52Z,1060.0,W_correct_weak,Female,662945728093113a43ab8077,55.0,75.0,18.0,23.0,5.0,75.0,100.0,25.0,25.0,split_unknowns,unknown_woman_gk,SplitUnknowns_ManWins,Unknown_WomanGK_ManWins,B,B,1,0.88,48.865,52.657,14.576,W,correct,weak,Success,1,1,1,1,1,5,5,1,Female,1,0,Female,58.0,White,1,1,1,1,0,32.3235,12.6642
R_1gbPksHC26mCWjv,66313a4d57660634e1b60cbb,2026-03-27T14:03:44Z,2026-03-27T14:09:34Z,350.0,M_correct_strong,Male,5c3a865019ceb400010c914a,2.0,2.0,87.0,78.0,-9.0,75.0,75.0,0.0,0.0,dominant_woman_wins,misleading_man_looks_better,Dominant_WomanWins,ObviousFails_ManLooksBetter,A,A,1,0.88,15.009,8.979,9.487,M,correct,strong,Success,1,1,1,1,1,5,5,1,,0,1,Female,36.0,White,0,0,0,1,1,32.3235,-9.3358
R_1lSx7RzE56MgXf3,604bbfc901b85fb02ae92c1a,2026-03-27T14:02:45Z,2026-03-27T14:10:47Z,482.0,M_correct_strong,Male,559c3e07fdf99b32b55f2d8d,3.0,5.0,85.0,78.0,-7.0,50.0,50.0,0.0,0.0,dominant_woman_wins,misleading_woman_looks_better,Dominant_WomanWins,ObviousFails_WomanLooksBetter,A,A,1,0.75,27.22,7.727,2.282,M,correct,strong,Success,1,1,1,1,1,5,5,1,Male,1,0,Male,34.0,White,1,0,0,1,1,7.3235,-11.3358
R_71skx2kpJ8EMneP,66240955715b3b45903381ed,2026-03-27T14:04:09Z,2026-03-27T14:11:33Z,444.0,W_incorrect_strong,Female,65dca046786b41c22b4de4e6,1.0,4.0,88.0,90.0,2.0,100.0,100.0,0.0,0.0,misleading_woman_looks_better,unknown_man_word,ObviousFails_WomanLooksBetter,Unknown_ManWord_ManWins,B,A,0,0.0,38.987,6.566,16.916,W,incorrect,strong,Failure,1,1,1,1,1,5,5,1,Female,1,0,Male,39.0,White,1,0,1,0,1,57.3235,-6.3358
R_60bBdN1dBp6S76C,61074ae762b0186a302f1028,2026-03-27T14:06:09Z,2026-03-27T14:11:32Z,323.0,W_correct_strong,Female,61033627c32742424aeaaac1,3.0,3.0,85.0,79.0,-6.0,100.0,100.0,0.0,0.0,dominant_woman_wins,misleading_woman_looks_better,Dominant_WomanWins,ObviousFails_WomanLooksBetter,A,A,1,1.0,20.53,12.074,10.512,W,correct,strong,Success,1,1,1,1,1,5,5,1,Female,1,0,Male,40.0,White,1,0,1,1,1,57.3235,-5.3358
R_5rGQ4OhlqWZX0RS,56435b83942576000a66eb5d,2026-03-27T14:08:31Z,2026-03-27T14:12:32Z,241.0,W_correct_strong,Female,660de2426df2c14f27678f6b,6.0,1.0,80.0,71.0,-9.0,25.0,0.0,-25.0,25.0,dominant_woman_wins,misleading_man_looks_better,Dominant_WomanWins,ObviousFails_ManLooksBetter,A,A,1,0.63,19.451,5.069,5.958,W,correct,strong,Success,1,1,1,1,1,5,5,1,Female,1,0,Male,47.0,White,1,1,1,1,1,-17.6765,1.6642
